,Category,Subcategory
0,Baby Essentials,Baby Care
1,Baby Essentials,Diapering
2,Baby Essentials,Feeding
3,Baby Essentials,Nursery
4,Baby Essentials,Baby Stationery
5,Baby Essentials,Potty Training
6,Baby Entertainment & Toys,Activity & Entertainment
7,Baby Entertainment & Toys,Baby & Toddler Toys
8,Baby Entertainment & Toys,Gyms & Playmats
9,Baby Entertainment & Toys,Play Mats
10,Baby Gear & Travel,Car Seats & Accessories
11,Baby Gear & Travel,Strollers & Accessories
12,Baby Gear & Travel,Travel Gear
13,Baby Gear & Travel,Walkers
14,Baby Gear & Travel,Diaper Bags
15,Baby Gear & Travel,Backpacks & Carriers
16,Baby Gear & Travel,Baby Playpens
17,Baby & Kids’ Clothing,Hoodies
18,Baby & Kids’ Clothing,Clothing Sets
19,Baby & Kids’ Clothing,Outerwear
20,Baby & Kids’ Clothing,Loungewear
21,Baby & Kids’ Clothing,Sweaters
22,Baby & Kids’ Clothing,Socks
23,Kids' Accessories,Baby & Kid Bags
24,Kids' Accessories,Bibs & Burp Cloths
25,Kids' Accessories,"Hats, Scarves & Gloves"
26,Nursery & Baby Furniture,Highchairs
27,Nursery & Baby Furniture,Cradles
28,Nursery & Baby Furniture,Baby Cribs
29,Nursery & Baby Furniture,Baby Seats & Sofas
30,Bed Linens,Bedding Sets
31,Bed Linens,Baby Pillow & Cases
32,Bed Linens,Bumpers
33,Bed Linens,Sheets
34,Bed Linens,Blankets & Swaddling
35,Bed Linens,Mattresses
36,Feeding & Nursing,Pacifiers & Leashes
37,Feeding & Nursing,Baby Food Storage
38,Feeding & Nursing,Cups
39,Feeding & Nursing,Utensils
40,,Baby Health Care
41,,Baby Teethers
42,,Hair Care
43,,Bath & Shower Items
44,,Baby Nail Care
45,,Baby Toothbrushes
46,,Casual Shoes
47,,Sandals
48,,Boots
49,,First Walkers
50,,Maternity Clothing
51,,Pregnancy Essentials
52,,Safety Gates & Play Yards
53,,Cabinet & Drawer Locks
54,,Corner & Edge Protectors
55,,Outlet Covers & Safety Locks
